Deutsch,English
ich,I
sie,she
das,the
ist,is
du,of
nicht,not
die,die
es,es
und,and
der,the
wir,we
was,was
zu,to
er,is
ein,a
in,in
ja,and
mir,mir
mit,with
wie,How
den,the
mich,mich
auf,on
dass,that
aber,but
eine,one
so,so
hat,hat
hier,here
haben,have
für,for
sind,are
war,war
von,von
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,an
bin,bin
noch,still
nur,only
da,and
dir,dir
sich,itself
einen,a
uns,us
hast,hast
dem,dem
kann,can
gut,gut
auch,also
schon,already
als,as
sein,be
mal,mal
jetzt,now
ihn,him
dann,then
aus,out of
meine,mine
um,one
im,im
wird,becomes
mein,mein
bist,are
doch,but
alles,everything
weiß,white
keine,no
oder,or
nach,after
s,s
nichts,nothing
man,man
muss,must
werden,become
will,will
ihnen,them
geht,goes
wo,wo
etwas,something
oh,oh
mehr,more
bei,at
also,also
bitte,please
immer,always
hab,hab
warum,Why
vor,before
los,los
können,can
wieder,again
sagen,say
machen,make
danke,Thanks
sehr,very
alle,at
denn,because
